domain	strict	balanced	reward_block	source
ad-us-west.ipredictive.com	1	1	0	Wei.G
ad-us.24hstatic.com	1	1	0	Wei.G
ad-v.jp	1	1	0	Wei.G
ad-vanx.com	1	1	0	Wei.G
ad-verify.flurry.com	1	1	0	Wei.G
ad-vice.biz	1	1	0	Wei.G
ad-virtua.net	1	1	0	Wei.G
ad-vortex.com	1	1	0	Wei.G
ad-wisteria.excite.co.jp	1	1	0	Wei.G
ad-x.co.uk	1	1	0	Wei.G
ad.103092804.com	1	1	0	Wei.G
ad.163.com	1	1	0	Wei.G
ad.17zhaole.com	1	1	0	Wei.G
ad.1k3.com	1	1	0	Wei.G
ad.1kxun.com	1	1	0	Wei.G
ad.1ting.com	1	1	0	Wei.G
ad.22betpartners.com	1	1	0	Wei.G
ad.23blogs.com	1	1	0	Wei.G
ad.24h.com.vn	1	1	0	Wei.G
ad.320320.net	1	1	0	Wei.G
ad.360in.com	1	1	0	Wei.G
ad.360yield-basic.com	1	1	0	Wei.G
ad.360yield.com	1	1	0	Wei.G
ad.363.in	1	1	0	Wei.G
ad.3dnews.ru	1	1	0	Wei.G
ad.3dpop.kr	1	1	0	Wei.G
ad.51wnl-cq.com	1	1	0	Wei.G
ad.51wnl.com	1	1	0	Wei.G
ad.52av.one	1	1	0	Wei.G
ad.52av.tv	1	1	0	Wei.G
ad.71i.de	1	1	0	Wei.G
ad.886644.com	1	1	0	Wei.G
ad.8live.com	1	1	0	Wei.G
ad.8live.net	1	1	0	Wei.G
ad.95306.cn	1	1	0	Wei.G
ad.99jiasu.com	1	1	0	Wei.G
ad.a-ads.com	1	1	0	Wei.G
ad.a.yximgs.com	1	1	0	Wei.G
ad.a8.net	1	1	0	Wei.G
ad.abcnews.com	1	1	0	Wei.G
ad.abctv.com	1	1	0	Wei.G
ad.abema.io	1	1	0	Wei.G
ad.about.co.kr	1	1	0	Wei.G
ad.aboutwebservices.com	1	1	0	Wei.G
ad.abum.com	1	1	0	Wei.G
ad.accesstrade.vn	1	1	0	Wei.G
ad.aceplanet.co.kr	1	1	0	Wei.G
ad.ad-arata.com	1	1	0	Wei.G
ad.ad-srv.net	1	1	0	Wei.G
ad.ad-stir.com	1	1	0	Wei.G
ad.adacado.com	1	1	0	Wei.G
ad.adapter.kaffnet.com	1	1	0	Wei.G
ad.adc-serv.net	1	1	0	Wei.G
ad.adfurikun.jp	1	1	0	Wei.G
ad.adhouyi.cn	1	1	0	Wei.G
ad.adition.de	1	1	0	Wei.G
ad.adition.net	1	1	0	Wei.G
